file_name,caption_1,caption_2,caption_3,caption_4,caption_5,caption_6,caption_7,caption_8,caption_9,caption_10
Cars02.wav,A strong wind is blowing fiercely with rain falling hard continuously.,It is raining very hard onto a front porch roof.,Rain is falling down as traffic occurs outside.,Traffic happens outside as the rain continually falls.,strong fierce wind blowing with rain continuously pouring strongly,A fierce gale is accompanied by relentless rainfall on a front porch roof.,Intense rain pours down as vehicles move along the street outside.,Continuous rain and strong wind are present during outdoor traffic movement.,"Outside, heavy rain coincides with cars passing by in traffic.",Persistent rain falls while powerful winds blow during bustling traffic conditions.
urban-bees.wav,A lot of bees buzzing by a hive.,A swarm of bees buzzing near a hive.,A swarm of mosquitoes buzz loudly and constantly.,"Buzzing bees with a nice, gently but fierce buzz sound.","The bees were buzzing, giving off a gentle but fierce buzzing sound.","Bees swarm around the hive, creating a constant, gentle buzz.",A busy bee activity with a strong buzz near the hive.,Buzzing bees emit a relentless yet soothing sound in their vicinity.,The hum of bees is noticeable as they gather by the hive.,Constant buzzing emanates from bees gathering close to their home.
casino_ambiance_03.wav,A group of people chatter while music plays in a hall,A large crowd is chattering indistinctly with brief clips of music.,People are talking to each other and music is playing.,People are talking to each other while music plays in the background.,The indistinct chatter of a crowd is interrupted by brief clips of music,Indistinct murmurs from a group blend with intermittent musical notes in the background.,"A lively crowd's chatter is interspersed with sporadic music, creating an ambient atmosphere.",Music plays softly as people engage in animated conversations within the space.,"Amidst laughter and dialogue, snippets of music fill the air, adding to the ambiance.",The buzz of conversation is occasionally punctuated by brief musical interludes throughout the venue.
rain_on_tin_roof.wav,An object rumbles inside of a metal object.,"Large drops of rain are falling on a new home with a metal roof, while a family sleeps inside.",Rain drops fall and hit a sheet of tin.,Rain drops falling and bouncing off of a metal tin.,Rain pattering and falling on top of a thin roof.,Water droplets rhythmically strike the surface of a metallic sheet.,"Rain cascades onto a rooftop, creating a soothing patter as people rest indoors.",A tin surface vibrates under the gentle impact of falling raindrops.,Metallic roof reverberates with each drop from the sky during a rainfall.,Soft pitter-patter of water on thin metal roofing amidst a downpour.
Purring cat.wav,A cat is sleeping and snoring very loudly.,A cat loudly purrs as it is sleeping.,A cat that is sleeping and loudly purring.,A sleeping animal is snorting as it breaths.,an animal is sleeping and snorting as it breaths,A cat is happily purring while in a deep sleep.,"A cozy kitten snores softly, dreaming peacefully.",The contented cat emits gentle purrs during its slumber.,"An animal breathes deeply, making soothing snoring sounds as it sleeps.","In restful sleep, the creature makes soft purring and snorting noises."
owl+bats+city_filt.wav,"A bird call out loudly, a siren rings out, and then the bird calls out two more times.","A bird chirps while a siren wails, and then, the same bird calls out twice more.",A bird is making a bird call somewhere in the distance.,An ambulance blares its horn while an unusual bird makes noise.,An owl hoots in the night sky as winds blow,"An owl calls out while a siren blares, followed by two more owl calls.","Amidst city ambience, an owl hoots as sirens echo in the distance.",A distant bird call is interrupted briefly by the sound of a passing siren.,"As winds blow through the night, an owl's hooting is accompanied by sirens.","In the nighttime urban soundscape, an owl hoots with intermittent sirens nearby."
cave_footsteps.wav,Footsteps on a hard floor and papers are being crumpled.,Footsteps across a hard floor and papers being crumpled.,Somebody walking around the interior of a building or room making slight noises and footsteps.,The shoes of someone are sticking to the surface that they are walking across.,The footsteps get louder as the video goes on.,"Footsteps echo in a cave, with paper rustling and crumpling sounds.","Inside a building, footsteps mingle with soft paper crumpling noises.",Walking on hard surfaces creates distinct steps while papers rustle nearby.,The sound of shoes sticking to the floor joins with paper crunching.,"As footsteps approach, they blend with the subtle crinkle of paper being folded."
Rotonda109.wav,A lot of people talking nonstop in the background.,Multiple people talking in both the foreground and the background.,"Several people are talking in a crowd, with one voice sticking out.",Several people are talking together and one voice is prominent.,different people are talking continuously in the background,Voices overlapping in a bustling crowd with continuous chatter.,"A mix of conversations happening simultaneously, some louder than others.",Continuous murmur from multiple speakers blending into the background noise.,A symphony of voices creating a lively soundscape with one voice standing out.,Diverse conversations create a backdrop of ongoing dialogue in a busy space.
Ceinture.wav,A electric machine is running with the arranging of ceramic noise in the background,A sliding motion sounds while a person loads things into their places.,An electric machine is running with the arranging of ceramic noise in the background,"By something dragging on the humming equipment, was locked and then unlocked.",Someone is sawing and opening and closing a disk deck,A motor hums with ceramic noise in the backdrop.,The sound of sliding as items are neatly stored.,An engine operates amid the buzz of ceramic noise.,"Something drags on a humming device, locking and unlocking.",Saws cut while opening and closing a turntable.
Chain pick up from &amp; drop on small piece of metal.wav,A kid is dropping little rocks into a container.,A person that is playing with some marbles.,Beads fall and scatter while paper is crumpled,Little rocks are being dropped into a container,"paper is crumpled, then beads are dropped and rolled around",A container is filled as small rocks are dropped one by one.,Marbles roll around as someone plays with them in a casual manner.,Crumpled paper makes noise while beads scatter and hit the surface.,"Rocks descend into a bin, creating a rhythmic sound with each drop.",Paper rustles as beads tumble and create a soft jingling sound.
Menlyn_Ambience.wav,A classroom of people crowds the hallway and takes up space.,Many people are talking all at once inside of a large room.,Many people talk all at once inside of a large room.,People are having conversations with each other with some faint distinct noises at the end including some indoor white noise.,"People are talking together with some faint noises in the background, including some white noise inside.",A crowded hallway echoes with numerous conversations and ambient indoor sounds.,"Inside a spacious room, overlapping dialogues fill the air alongside background noise.","Voices blend in a large space, accompanied by subtle background sounds and white noise.","Conversations overlap indoors, merging with faint background noises and soft white noise.","A lively exchange of dialogue occurs within a room, mixed with ambient indoor hums."
outdoors terrace ambient heavy traffic.wav,A constant drone of city traffic masks everything else.,A large volume of air is moving and hard objects are striking each other close by.,Several cars and trucks driving by on a busy road.,The busy highway was filled with several cars and trucks.,The incessant buzz of city traffic blocked out everything else.,The continuous hum of urban traffic drowns out other sounds.,Nearby collisions between hard objects and the rush of air dominate the sound.,"Numerous vehicles, including cars and trucks, pass on a bustling street.",A crowded highway is lined with many cars and trucks driving by.,The relentless buzz from city traffic obscures all other noises.
swamp April SHORT NL 01 130416_00.wav,"Birds of various sizes are quacking, chirping and whistling while insects hum lightly in the background.",Ducks or geese are quacking in the wild.,Ducks or geese quacking in their area in the wild.,Hens cluck loudly and birds sing in the background.,"Quacks, chirps and whistles from various sizes of birds with the light hum of insects in the background.","Various birds quack, chirp, and whistle with a soft hum of insects in the backdrop.",Wild ducks or geese make quacking sounds amid nature's ambiance.,"In their natural habitat, ducks or geese produce distinctive quacking noises.",Hens cluck while birdsong fills the background atmosphere.,Bird calls intermingle with gentle insect buzzes in a serene outdoor setting.
chopper threw a wall of glass.wav,A helicopter sound is being created by an object.,A percussive instrument is played in a reverberating chamber.,A person is mimicking a helicopter sound using an object.,An electric generator emits a number of different pitches at various volumes.,An electric sound generator is generating sounds at different volumes and pitches.,"An object produces helicopter-like noises, creating an ambient effect.",A reverberant space amplifies the sounds of a percussive instrument being played.,"Using an object, someone simulates the sound of a helicopter in motion.","Various pitches and volumes emanate from an electric generator, producing diverse tones.",An electric sound device creates oscillating noises at multiple volumes and pitches.
"train at crossing, camden arkansas.wav",A freight train sounds its horn while passing on the nearby train track.,A train din its motor horn as it speeds down the tracks.,A train horn blows and then the train is heard moving on the tracks.,A train on a railroad track blows a whistle as it continues to move.,a train moving along a railroad blowing its horn or whistle,A freight train's horn echoes as it moves past on the adjacent tracks.,"The motor of a speeding train produces a loud, resonant sound.","As the train progresses, its whistle signals passage along the rails.","On the railroad track, a train emits a whistle while advancing.","Alongside a field-recording scene, a horn-blowing train moves on tracks."
rainfall.wav,A man starts talking while it is raining.,It is raining outside then a man talks about something.,Rain falls outside as a man speaks and rearranges an object.,Rain pours down and a man speaks about something.,The man is trying to listen over the pouring rain.,A man starts speaking amidst the sound of falling rain.,Rain continues as a man discusses an unspecified topic.,"Outside, it rains while a man speaks and adjusts something.","Amidst heavy rainfall, a man engages in conversation about a topic.",The man attempts to hear clearly over the sound of rain.
Insects 3 with dog.wav,"A bunch of crickets and other types of insects communicating with each other, a dog barking too.","Bugs buzz and chirp and hum while flying in the air, and a dog barks.","Crickets and other types of insects communicate with each other, just as a dog barking is communication.","night sounds dogs barking, people faintly talking, crickets chirping and a sliding noise","night sounds dogs barking, people faintly talking, crickets chirping and a sound of something sliding like a snake","Insects buzz, chirp, and hum in the air while a dog joins with its bark.",Nature's symphony: insects communicate as a dog adds its barking to the mix.,Crickets and various insects create ambient sounds alongside a nearby dog's bark.,The evening ambiance includes insect chatter and a distant dog's bark.,"Nighttime nature sounds blend as insects buzz, chirp, and dogs bark in the background."
hereg_hungary__grain_field_2_20080712.wav,Different species of insects chirping by rubbing their legs together.,Grasshoppers and crickets are chirping while traffic is passing by in the distance.,Grasshoppers and crickets are chirping while traffic passes in the distance.,Locusts are singing and crickets are chirping softly.,Locusts are singing and crickets chirp softly throughout.,"Crickets and locusts produce soft, rhythmic sounds as wind rustles through summer weeds.","Amidst the night's calm, crickets and locusts chirp softly in a quiet field.",The distant hum of motorcycles blends with cricket and locust songs under starlit skies.,Summer breezes carry the harmonious chirping of crickets and singing of locusts through fields.,"In the summer night, cicadas, grasshoppers, and crickets blend their sounds softly in the wind."
Cityscape 02 090617.wav,A car accelerates in the distance and speed off.,A car was moving on the road and the accelerated,Low traffic noise from inside a tunnel and a match is lit toward end.,Low traffic noise from inside a tunnel and the match is lit toward end.,Traffic in the far distance with wind in the background,"A vehicle speeds away, gaining momentum on an open road.",The car moves along a street before accelerating rapidly.,"Inside a tunnel, traffic hums softly as a match ignites briefly.","With the sound of traffic fading far off, wind whispers through the air.",Ambient city sounds blend with distant cars moving past.
City ambience light traffic man running by.wav,A multitude of vehicles pass prior to the footsteps of a jogger,Cars driving along a busy street with birds chirping in the background.,Road traffic with multiple vehicles driving by followed by footsteps running by.,"Several cars drive by a point, and all are driving at nearly the same speed.",Traffic passing nearby and a bird chirping in the distance.,Vehicles moving along a street with birds singing in the background.,Cars passing by on a bustling road as jogger's footsteps follow.,A busy street scene with cars driving past and chirping birds heard nearby.,"Traffic flows steadily while a runner's footsteps approach, accompanied by bird sounds.",City ambiance featuring moving vehicles with distant chirping of birds in the air.
promenade_Lanzarote_kids_people_talking_bicycles_AMB_EXT.wav,A wide variety of people of different ages are talking and moving in close proximity to each other.,"Children yell and play in a park as parents chatter, jogger runs by followed by a bicycle.","Children yell and play in a park as parents chatter and a jogger runs past, followed by a bicycle.","Kids laughing, playing and running on a busy city playground.",People talk to each other in a park and a ten speed bike rides by.,A lively gathering of diverse individuals chatting and moving closely in a park setting.,"In a bustling park, children's voices fill the air while adults converse amidst joggers and cyclists passing by.",The vibrant soundscape includes kids playing energetically as nearby parents engage in conversation with joggers and bikers.,Laughter and chatter blend in a lively urban playground scene with people actively engaging around.,"A park ambiance is filled with conversations, children's voices, and the passing sound of a bicycle."
MrM_ElantraStarting3.wav,"A car engages its turn signals, and then turns them off and finally the car turns off.",A car ignition is being turned to start a car and again to be turn it off.,"A car puts turn signal on, turns, then turns the signal off and finally the car turns off.",A person getting inside a car and starting an engine and turning the car off.,Chimes go off and play a tune followed by two tapping sounds.,"The car activates its turn signals, turns, then deactivates them before shutting down.",Engine ignites to start the vehicle and is turned off shortly after.,"Turn signals activate as the car makes a turn, then deactivate with engine shutdown.","A driver enters a car, starts it up, and then turns it off.",Melodic chimes are followed by two distinct tapping sounds.
F1 BR 06 Starting engines n formation lap release 2.wav,A variety of vehicle engines are increasing in speed while gears are shifting.,Many kinds of cars are speeding up and changing gears.,Race cars at high speed on the track,Race cars passing at high speed on a racetrack.,People race their motorbikes all around the track.,A mix of engines revving up as gears transition smoothly.,"Various cars accelerate rapidly, shifting through different gear settings.",High-speed race cars thunder across the racetrack.,Racing vehicles zoom past at breakneck speeds on a circuit.,Motorcyclists speed around the track in an intense racing event.
Coffee Machine .wav,A coffee machine boiling water and preparing coffee.,Water is dripping out of a coffee pot and then the remaining water in the coffee pot is released.,Water is dripping through a coffee pot and then the coffee releases the last of the water.,Water pouring in a solid stream into a small reservoir of water and flushing.,Water pours into a solid stream and a small reservoir as water flushes through.,"A coffee machine heats water to brew coffee, creating a rich aroma.",The coffee pot releases water in drips before emptying its contents fully.,"Water trickles through the coffee filter, leaving behind concentrated coffee essence.",Liquid flows steadily into a reservoir within the coffee maker as it operates.,A steady stream of hot water fills a small container in the coffee device.
stream running water.wav,Water flowing down a small fountain in a reservoir.,Water is flowing down a small fountain in a reservoir.,Water is forcefully flowing with the same frequency.,Water steadily flows down a stream or gutter.,water steadily flowing down a stream or gutter,Water cascades gently from a fountain in a serene reservoir setting.,Gentle water flow is observed as it moves through a small fountain's path.,A continuous flow of water mimics the rhythm and frequency found in nature.,The sound of water moving smoothly along a natural stream or gutter fills the air.,"Soft, rhythmic sounds of water steadily streaming down a tranquil gutter resonate."
Pantheon ROME.wav,A guy conversing with another guy while walking along the street.,A man talking with another man while walking down the street.,A mixture of different people conversing and traffic in the background.,Men are talking to each other back and forth.,Passengers were talking in a moving bus that had an open window.,Two men engage in a conversation while walking down the street.,A dialogue unfolds between two individuals as they stroll along the sidewalk.,Conversations of various people mix with ambient city sounds and traffic noise.,"Men exchange words, talking back and forth amidst the urban setting.",Passengers chat inside a bus with its window open to the breeze.
Wet peas.wav,A liquid mixture being stirred in a kitchen bowl.,"After pouring out and stopping, water again poured out.",Water is pouring out and then stops and then poured out again.,"Water poured all over everything, all over the place.",water is being poured all over the place,Liquid mixture stirred in a bowl as drops fall.,"Water pours out, stops, then flows again from glass.",Pouring water halts briefly before continuing to spill over.,"A sudden deluge occurs, covering everything with wetness.","Water cascades everywhere, creating a messy splatter."
helicopter.wav,A machine is running then stops and a vehicle is passing nearby and fades into the distance.,An airplane flies by then speeds off into the distance.,An airplane going down a runway getting ready to takeoff.,"An airplane is going down a runway, getting ready to takeoff.",An airplane with propellers is taking off and moving away from the observer.,"A machine halts as a vehicle drives by, gradually disappearing into the distance.",An airplane zooms past before rapidly fading out of view.,"Preparing for takeoff, an airplane taxis down the runway.",The aircraft prepares to ascend as it moves along the runway.,A propeller-driven plane takes off and travels away from the viewer.
Concrete block hitting the ground.wav,A constant thumping with no discernible pattern grows louder.,A loud tapping is consistently hitting an object,A loud tapping sound consistently hitting a object,Someone is dropping an audio device repeatedly onto a soft carpeted surface.,Someone repeatedly bounces a ball against a hard surface.,A persistent thumping noise with no clear rhythm becomes increasingly loud.,Consistent tapping resonates as it strikes an object repeatedly.,"Loud, rhythmic taps create a continuous sound against a surface.",An audio device is repeatedly dropped on a soft carpeted floor.,A ball is bounced continuously against a solid surface.
Steps Indoor medium soft Shoe Sole accompanying wooden Floor hollow Big Room 6mx15mx6m Part 1.wav,A basketball is being bounced on the ground at an even pace.,"Someone climbs the stairs, stomping them as they climbs.",An basketball is being bounced on the ground at an even pace.,Someone bouncing a basketball on a carpet floor.,Someone is bouncing a basketball on a carpeted floor.,A rhythmic bounce of a basketball echoes as it hits the ground steadily.,"Stomping footsteps ascend the stairs with a forceful, deliberate rhythm.",Steady bounces of a basketball resonate on the hard surface below.,The sound of a basketball bouncing resonates against a soft carpeted floor.,A basketball bounces repeatedly in a steady pattern on a plush carpet.
construction metal lumber.wav,Balls are clacking against one another and a car starts and drives off.,"Hammering on metal and on wood, a vehicle starts and drives away",Metal carts are moving around a warehouse and then a car takes off.,Some balls are hit together followed by a vehicle starting and driving away.,"hammering on metal, hammering on wood, a vehicle starts and drives away",Metal impacts and wooden strikes are heard as a car engine revs and drives off.,The sound of hammers striking metal and wood precedes the start of a departing vehicle.,"Amidst rhythmic hammering on metal and wood, an engine roars to life and a car departs.",Hitting metal and wooden surfaces is followed by a car's ignition and departure.,A sequence of hammer strikes on metal and wood culminates in a car driving away.
Construction Sounds.wav,"A bicycle rolls down a gravel road, gaining speed.",A continual whirring slows down and then speeds up.,A continual whirring that slows down and then speeds up.,"A sewing of a machine becomes louder and quicker, then softer and slower, then louder and faster again .","A small electronic engine turns many times, but its parts are not tight and smooth.",A bicycle gains speed on a gravel path while making rhythmic sounds.,The whirring noise intensifies and then softens before speeding up again.,"An increasing, then decreasing, and finally rapid whir of machinery is heard.","A sewing machine's hum fluctuates in volume and pace, echoing inconsistently.","An electronic engine operates with loose components, producing varied mechanical sounds."
Truck Brakes.wav,"A garbage truck lifts and dumps a trash bin, then moves forward and stops again.","A vehicle runs, shifts gears, and breaks a few times.","After running, a vehicle shifts gears, and then brakes a few times.","garbage truck pick up trash, driving, and then its happy horn squeal as it comes to a stop, repeat","garbage truck picking up trash, driving, and then its breaks squeal as it comes to a stop, then this repeats","A garbage truck collects waste, shifts gears, and stops with a brake squeal.","The garbage truck runs, picks up trash, and halts with engine noise.","As the garbage truck lifts bins, it moves, then brakes with a distinct sound.","A vehicle navigates, disposes of trash, and halts with an audible engine noise.","The garbage truck's routine involves collecting waste, shifting gears, and stopping loudly."
contact_mic_printer01.wav,A printer is printing paper and then it turns off.,A printer is running and then stops as it runs out of paper.,A printer is running as several pages are printed and then the machine is turned off.,A printer stops running when it runs out of paper.,a printer printing out a sheet of paper,"A humming printer is operating, producing pages before powering down.",The printer's mechanical buzz ceases as it finishes its task and shuts off.,Pages are printed by a whirring machine that halts when done.,Paper leaves the printer amidst a symphony of piezo sounds until silence.,"A buzzing printer runs, printing several sheets before coming to rest."
conversation in crowd.wav,"A few men are all speaking at the same time, talking over each other.",A group of people discuss something and laugh a little.,"Men are conversing with each other, while other muffled voices are heard in the background.","Multiple voices speaking at once, the voice of a man speaking with a deep modulated tone.","Several men converse, while muffled voices speak in the background.",Voices overlap as several individuals engage in lively conversation amidst background chatter.,"A cluster of people discusses a topic, occasionally breaking into light laughter.",Men talk together with overlapping dialogue while muffled sounds blend from the periphery.,"Distinct male voices speak simultaneously; one has a deep, modulated tone amid noise.",Multiple men engage in conversation as additional muted voices contribute to background noise.
Ferry boarding 2.wav,"An air conditioner blares while people chatter, then a metal object jingles.","Two men discuss between themselves, while an engine whirs near them.","While people are talking, an engine is running in the background.",an engine is whirring while someone is arranging and talking in the background,an engine running in the background and people talking.,"A loud air conditioner hums as voices mingle, followed by a metallic jingle.",Two individuals converse quietly while a nearby engine emits a whirring sound.,Conversations unfold against the backdrop of an operating engine's persistent noise.,"Amidst discussions and background chatter, an engine continues its steady humming.",Voices intermingle with the soft drone of an engine running in the distance.
Sizzling Bacon.wav,"A pan fries food small in a small amount of liquid, fat or grease on an indoor stove.",Bacon in the frying pan sizzling sounding like water running into a sink.,Food is cooking and sizzling in oil in a frying pan.,Food is cooking in the oil that is in a frying pan.,bacon sizzling in a hot frying pan or water running into a sink,The sound of food frying and sizzling in a pan on the stove.,Sizzling noise as bacon cooks in hot oil within a frying pan.,"Cooking sounds from food in a pan with bubbling, crispy texture.",Oil and food emit a sizzle while being fried on an indoor range.,The auditory experience of bacon crackling like water hitting a sink.
tadpolesound.wav,A waterfall falls down only a short distance.,Just a long clip of water running like in a sink or a stream,Water flows into a water display or a bird bath.,Water is flowing in a water display or bird bath.,"water in a waterfall, falling down a short distance",Water cascades down briefly in a small waterfall.,Long audio clip of water streaming like from a faucet or brook.,Water pours into a fountain or decorative bird bath setup.,Gentle flow of water within an ornamental fountain or bird bath area.,A brief descent of water resembling a miniature waterfall.
CR CabinetInt.wav,"A plate is dropped, then picked back up.","Dishes are being put away, a lid is removed, and then a plate is placed on top of another plate.","Dishes are being put away, as a lid is removed, then one plate is placed on top of another.",Pots are being put on shelf and dishes are being stacked.,Pots are being put on a shelf and dishes are being stacked.,A dish is dropped and then retrieved.,"Dishes are arranged, a lid removed, and one plate nested over another.",Kitchenware organized as lids are taken off and plates stacked.,Pots shelved while dishes are neatly piled up.,Utensils are stored; pots placed on shelves and plates stacked.
Crazy Ones - Outside.wav,A guy is speaking very quickly as he turns papers in the wind.,A guy is talking and then reading a note from a paper while cars are driving in the background.,A guy is talks and then reads a note while cars are driving in the background.,A man is talking and he turns a page over.,The man is talking and he turns a page over.,A person speaks swiftly while papers flutter in the breeze.,Someone reads from paper amidst background traffic noises.,"A man converses, then peruses a note as vehicles pass by.",An individual talks and flips through pages outdoors.,The speaker turns over a page amid outdoor sounds.
Crunching sticks with feet.wav,A person is popping bubble wrap bubbles with their hands.,A person is popping bubbles on bubble wrap with their hands.,Someone is waling through a wooded area that is very dry.,Someone walks through a very dry wooded area.,crinkling and crunching sounds that come and go,A person engages in popping bubble wrap bubbles using their hands.,An individual relishes the sensation of bursting bubble wrap with their fingers.,"The sound of someone navigating a parched, wooded path is evident.",A journey through an arid forest area produces distinct sounds.,Intermittent crinkling and crunching noises are heard in the background.
robin_3.wav,Birds are chirping and then other birds start to chirp with them.,"Birds whistle intermittently, in a melodious voice first, and then shrill one.",Many young birds chirping and a bird whistling.,The birds were chirping when other birds started to join them,The chirping of birds and responses to one another.,"Birds are singing in unison, their melodious calls filling the air.",A symphony of bird whistles echoes through the serene forest environment.,The forest is alive with the sound of chirping and melodious bird tunes.,Robins and other birds create a harmonious chorus with their varied chirps.,"The lively chatter of birds fills the air, interspersed with sweet melodies."
Wood_Creak_02.wav,A creaking floorboard under a rocking chair in a small room.,A door is creaking as it is opened and closed slowly.,A rocking chair in a small room is making the floor creak.,"The door is sliding very slowly, forward and back again.",The door opening and closing slowly causes a creaking.,Wooden floorboards creak beneath the gentle sway of a rocking chair in a confined space.,"A door slowly swings open and closed, emitting a soft creaking sound each time.","In a cozy room, a rocking chair causes the wooden floor to emit creaks.",The slow back-and-forth motion of the door produces a gentle creaking noise.,"As the door moves leisurely, it generates a noticeable creaking sound with each motion."
London Indoor Playground.wav,A crowd is gathered and a woman and child are talking while a girl shrieks in the background.,"A girl is shrieking in the background, while a woman and child speak, and crowd noises.",Children are speaking and calling out and laughing.,Children play at a playground in a park and the children talk to each other.,The children call out to each other as they laugh.,"A woman and child converse amidst crowd noise, with a girl's scream in the background.","In a lively gathering, a woman talks to a child while a girl shrieks nearby.","Amidst laughter and calls, children interact as a woman speaks to another child.",Children chatter and giggle on a playground while distant screams are heard.,Laughter and conversation fill the air as children play and shout in a park.
crickets in the midnight.wav,Cicadas are chirping in the woodland area in a consistent fashion as the wind blows.,Cicadas are chirping in the woodland area in a consistent fashion while the wind blows.,"Insects making loud noises, nonstop at a constant rate.",Insects making nonstop loud noises at a constant rate.,"The birds sing outside, and an insect is humming with every flick of its wings.",Cicadas chirp rhythmically in the forest as gentle breezes pass through.,Forested area resonates with cicadas' steady chirping amidst a soft breeze.,A consistent chorus of insect sounds fills the air nonstop and steadily.,"Constant, loud buzzing from insects echoes continuously at an even pace.","Birds sing outside while nearby, an insect hums with each wing beat."
Gentle Water splashes.wav,A person is making small splashes in water.,An faucet drips water into a water filled basin as time goes on.,Someone is making small splashes with some water.,Someone uses their finger to flick water over and over.,Water drops are falling slowly into puddles in the background.,"Gentle splashes echo as someone interacts with water, creating rhythmic droplets.","Water is being flicked repeatedly by a finger, forming small ripples and splashes.","A series of soft splashes occur in the water, accompanied by dripping sounds.","Water falls slowly into puddles, producing a tranquil sound as drops accumulate.","Splashing actions produce rhythmic droplets, complementing the ambient sound of flowing water."
Crisps_open &amp; crunching.wav,"A person is biting into and chewing chips, then reaching into the chip bag and eating more chips.",A person is eating chips and then grabbing more chips to eat.,Someone is eating crunchy chips out of a bag.,Someone is pulling crunchy chips out of a bag and eating them.,a person is eating potato chips from the plastic bag,"Someone is enjoying crunchy chips, taking more directly from the bag.","A person is munching on crispy chips, reaching into the bag for more.","Crunchy chips are being savored, with additional servings taken from the bag.",Eating a handful of crunchy chips straight from their package.,Enjoying potato chips by biting into them and grabbing more from the bag.
raven_calls.wav,A hawk or crow flying over a field and insects chirping at night.,A hawk or crow is cawing in a field and insects are chirping at night.,Birds chirp and call to one another as the wind blows.,One bird and several insects squawk and chirp together.,Outdoors in a field geese and insects are making noise.,A raven or hawk soars over a field while night-time insects buzz.,Insects chirping accompany the calls of a crow or bird in a field.,The wind carries the sounds of birds and insects calling together.,Nighttime is filled with the combined noises of insects and one bird.,Geese and various insects create a lively outdoor scene in a field.
crowd-16.wav,"A group of people are talking, and one of them coughs.",A large crowd of people are talking and making noise in a common room.,A crowd of people are conversing and creating reverberations.,Men are speaking to one another in a crowded place as the voices of women chatter to one another loudly.,men speaking to each other in a crowded place as the voices of women chatter to each loudly.,"A lively group engages in conversation amidst a noisy, bustling environment.",Voices of many blend together in a shared space filled with chatter and echoes.,Men converse while the room buzzes with overlapping discussions from various voices.,Women's voices mingle audibly as men talk among themselves within a crowded area.,Conversations fill an active common area where people gather and engage in dialogue.
fish dreams.wav,A soft calm instrument is playing a song.,"A song is playing on a soft, calming instrument.",Ambient music is playing softly from a distance.,Some ambient music plays softly in the distance.,Various soothing tones from a keyboard that are muffled.,"A dreamy harp melody fills the air with gentle, ambient sounds.","Soft, floaty tones from a harp create a subconscious musical atmosphere.",The sound of a distant keyboard plays soothing and mellow music softly.,"Ambiance is set by a floating, harmonious tune from an unseen instrument.",Continuum-5 captures the essence of dreamy and soft ambient music through its play.
Curtains.wav,"A rake being dragged across a hard surface, gathering up debris.",Something is being swept away on a surface.,Something is rustling over and over throughout until the end.,"Something rustles again and again, until the end.",The surface of something is getting swept away.,"A rake moves across a hard surface, collecting scattered debris.",Debris is being gathered and swept away on the ground.,Rustling sound repeats consistently until it reaches its conclusion.,Persistent rustling continues over time until silence occurs.,Surface debris is continuously cleared through sweeping motions.
Deep Sea Ambience.wav,A rocket ship is slowly flying through the air.,A rocket ship who is flying in the air slowly.,A rumbling of air on the window while flying an airplane.,Someone is driving on a empty highway with their windows rolled up.,Someone is driving on an empty highway with their windows rolled up.,A rocket ship moves through the air at a slow pace.,An airplane creates a rumbling sound near the window while in flight.,A person drives on an empty highway with windows rolled up.,"On an empty highway, a driver enjoys the quiet with closed windows.","Submerged underwater, objects drift slowly amidst swirling water currents."
delphis AMBIENT CAR edit.wav,"A car accelerates and fades in the distance, then a large motor vehicle approaches, idles, and then accelerates and fades.",A car speeds up than disappears from view as a large motor vehicle advances and idles then does the same.,Someone takes off in a small vehicle and then an idling semi follows.,Someone takes off in a small vehicle and then an idling semi takes off.,cars are driving past the camera one at a time,"A car accelerates, fades out of sight, followed by a large motor vehicle approaching, idling, then accelerating away.","A small vehicle speeds away as a larger semi approaches, idles briefly before speeding off.","A car drives past quickly, leaving the scene, while a large truck follows suit after a momentary pause.","As one vehicle swiftly leaves view, another larger motorized unit advances, stops momentarily, then continues on.","Vehicles pass in sequence; a smaller car first, followed by a semi that idles before moving on."
stonemachine.wav,A booming rumbling noise pulsating and growing louder,A motorcycle stays stationary while it revs its engine.,A muffled motorcycle revving its engine but not driving,The wind was whistling loudly as the car quietly hummed along.,"To voice its view, a cat is purring.",A powerful rumble intensifies with each pulsating beat of a large engine.,"Stationary motorcycle engine revving loudly, creating deep vibrations nearby.",Muffled sounds from an idle motorcycle's engine grow louder in the air.,Loud whistling wind accompanies the quiet hum of a moving vehicle.,"A content cat expresses itself with a soft, rhythmic purring sound."
Liverpool St Station main hall.wav,A group of people chatter while a man uses a microphone to make announcements and people cheer.,A machine is running and some people are talking.,Passengers aboard a bus have various conversations among each other.,Passengers in a moving bus were talking to each other,"Various people, including adults and children, are talking in the background.",People engage in lively chatter while announcements echo through a bustling crowd.,Conversations fill the air as machinery hums softly in the background.,"Onboard a bus, passengers exchange stories and laughter during their journey.","Amidst motion, travelers on a bus share casual conversations with one another.","In a lively setting, adults and children contribute to the ambient chatter around them."
toilet at the airport.wav,A woman announces something and then continues announcing.,A woman is talking over a loud speaker.,"After first making her announcement, a woman makes an announcement again.",A woman makes an announcement to passenger aboard an airplane.,A lady is making announcement to the passenger,"A female voice delivers announcements over a loudspeaker, likely in an airport setting.","From an airplane's PA system, a woman informs passengers with announcements.","Over a noisy backdrop, a lady makes sequential announcements to travelers.","Amidst ambient sounds of an airport terminal, a woman addresses passengers.",A female voice provides public information through repeated announcements in transit.
